,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,cabincomspe_AS,cabincomspe_BP,cabincomspe_BS,cabincomspe_CP,cabincomspe_CS,cabincomspe_DP,cabincomspe_DS,cabincomspe_EP,cabincomspe_ES,cabincomspe_FP,cabincomspe_FS,cabincomspe_GP,cabincomspe_GS,cabincomspe_TP,cabincomspe_TS,PassengerId
0,1,27.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0013_01
1,0,19.0,0,0.0,9.0,0.0,2823.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0018_01
2,1,31.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0019_01
3,0,38.0,0,0.0,6652.0,0.0,181.0,585.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0021_01
4,0,20.0,0,10.0,0.0,635.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0023_01
5,0,31.0,0,0.0,1615.0,263.0,113.0,60.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0027_01
6,1,21.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0029_01
7,1,20.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0032_01
8,1,23.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0032_02
9,0,24.0,0,0.0,639.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0033_01
10,0,19.0,0,339.0,3.0,136.0,237.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0037_01
11,0,45.0,0,932.0,74.0,0.0,7.0,1010.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0040_01
12,0,44.0,0,0.0,1561.0,0.0,14.0,224.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0040_02
13,1,46.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0042_01
14,0,21.0,0,0.0,0.0,0.0,1687.0,92.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0046_01
